ACTIVIDAD;PRODUCTO;AÑO;ENE;FEB;MAR;ABR;MAY;JUN;JUL;AGO;SET;OCT;NOV;DIC;TOTAL_TN
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves carne;2011;713,2;818,3;596,2;555,5;317,0;361,6;309,4;310,8;470,4;395,4;480,5;208,9;5.537,2
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2010;14.226,2;13.378,0;13.985,4;13.916,6;14.631,2;14.984,1;15.395,3;15.536,6;15.798,4;16.682,4;15.684,5;17.445,6;181.664,3
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2011;16.577,8;15.253,5;16.644,9;16.228,0;17.128,0;18.156,2;19.381,5;20.136,7;19.234,1;19.183,7;18.738,5;17.908,2;214.571,2
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2012;17.992,2;17.707,4;19.131,2;18.771,7;20.285,3;20.905,3;21.310,0;22.589,8;20.238,8;19.865,1;19.769,1;21.499,0;240.064,9
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2013;20.880,0;19.975,4;20.889,1;20.353,8;22.880,0;21.144,7;21.863,5;24.113,1;23.430,4;23.736,4;23.243,1;24.864,7;267.374,2
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2014;25.194,3;21.755,8;24.909,1;24.573,7;25.890,0;24.312,2;24.507,0;26.297,5;24.662,2;24.735,9;24.687,6;26.217,2;297.742,4
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2015;24.948,1;24.712,7;24.296,1;23.842,8;24.860,7;23.909,9;25.502,7;25.073,0;26.739,3;26.661,0;25.149,7;25.381,5;301.077,4
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2016;27.743,6;24.542,8;25.514,5;26.756,0;26.355,1;27.139,9;27.891,3;29.965,8;29.495,5;27.979,0;28.539,9;27.327,9;329.251,4
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2017;25.541,5;24.595,8;29.430,2;26.507,8;29.620,3;29.395,0;29.331,5;31.358,9;30.450,1;29.722,4;30.537,0;30.259,6;346.750,2
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2018;30.169,1;27.950,5;29.897,1;30.449,2;32.326,0;31.888,8;31.618,7;34.008,5;31.000,2;34.521,6;29.544,4;32.108,0;375.482,1
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2019;32.394,8;28.667,7;30.414,5;33.979,5;32.873,3;31.186,2;33.806,6;33.261,9;33.815,4;36.347,3;31.230,2;33.353,7;391.331,1
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2020;30.757,1;29.971,2;32.669,6;32.662,4;31.947,6;34.566,5;34.429,1;34.502,1;33.571,4;33.994,9;32.012,8;34.176,4;395.261,2
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2021;30.686,5;29.383,7;32.781,2;34.977,3;34.231,6;34.338,1;34.640,9;34.667,5;33.919,1;33.695,2;33.936,0;34.095,1;401.352,2
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2022;30.866,8;27.349,4;31.640,6;31.832,3;31.511,1;33.169,2;33.096,3;33.548,2;33.585,5;33.544,1;33.199,2;32.227,5;385.570,1
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2023;29.173,5;27.152,0;31.125,6;29.471,7;29.380,4;31.758,9;30.744,0;32.451,7;32.617,0;32.746,5;30.224,8;28.464,6;365.310,6
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Aves Postura / Reproductoras;2024;30.621,8;28.120,4;29.724,2;30.584,7;32.970,7;29.949,2;32.736,8;33.486,9;31.111,7;32.354,0;30.860,1;0,0;342.520,5
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Pavos y patos;2012;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Pavos y patos;2015;0,0;0,0;0,0;0,0;0,0;0,0;3,1;2,3;4,0;6,1;6,4;8,0;29,9
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Pavos y patos;2016;5,2;2,7;4,0;3,8;2,8;2,8;3,8;2,8;2,8;3,5;3,3;4,0;41,4
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Pavos y patos;2017;3,7;3,0;2,9;2,7;3,2;2,8;2,6;2,4;3,0;4,3;5,2;5,2;41,1
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Pavos y patos;2018;4,9;3,1;3,4;3,2;3,0;3,0;2,8;3,5;2,3;2,4;5,1;4,8;41,4
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Pavos y patos;2019;4,1;4,7;6,0;7,6;6,3;3,3;8,4;5,1;7,2;5,8;5,1;5,9;69,5
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Pavos y patos;2020;9,4;4,3;4,3;4,4;3,3;5,1;4,7;6,3;6,4;7,4;10,0;11,0;76,4
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Pavos y patos;2021;5,5;4,3;4,4;2,9;3,3;3,2;2,4;2,3;2,7;3,7;2,8;3,5;40,9
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Pavos y patos;2022;5,1;3,7;2,5;2,6;2,3;1,6;14,1;18,4;14,4;15,2;14,8;23,0;117,5
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Pavos y patos;2023;18,2;0,1;20,4;16,3;1,9;0,5;9,0;13,4;9,6;13,6;12,3;11,7;127,0
PROCESAMIENTO DE ALIMENTOS BALANCEADOS;Pavos y patos;2024;11,9;8,5;14,1;17,0;9,3;15,1;12,7;14,4;11,4;9,9;23,1;0,0;147,3
